
[3, 2, 1, 5, 4, 6, 9, 8, 7, 11, 10, 12]
[3, 2, 1, 4, 6, 5, 9, 8, 7, 10, 11, 12]
[3, 6, 2, 5, 1, 4, 9, 8, 7, 10, 11, 12]
[2, 3, 1, 5, 6, 4, 8, 9, 7, 11, 10, 12]
[2, 5, 1, 3, 4, 6, 7, 8, 9, 11, 10, 12]
[2, 3, 1, 4, 5, 6, 9, 7, 8, 10, 11, 12]
[2, 5, 1, 4, 3, 6, 7, 9, 8, 10, 11, 12]
[2, 3, 1, 6, 5, 4, 9, 7, 8, 10, 11, 12]
[2, 3, 1, 5, 4, 6, 8, 7, 9, 10, 11, 12]
[3, 2, 1, 4, 5, 6, 8, 7, 9, 11, 10, 12]
[3, 2, 1, 6, 5, 4, 7, 9, 8, 11, 10, 12]
[3, 6, 1, 2, 4, 5, 8, 9, 7, 10, 11, 12]
[2, 5, 1, 4, 3, 6, 8, 7, 9, 11, 10, 12]
[2, 3, 1, 6, 4, 5, 9, 7, 8, 10, 11, 12]
[3, 2, 1, 4, 5, 6, 8, 9, 7, 11, 10, 12]
[2, 3, 1, 5, 8, 6, 9, 4, 7, 11, 10, 12]
[3, 2, 1, 5, 4, 6, 7, 8, 9, 11, 10, 12]
[3, 6, 1, 2, 4, 5, 9, 8, 7, 10, 11, 12]
[2, 3, 1, 6, 5, 4, 8, 9, 7, 11, 10, 12]
[3, 2, 1, 4, 6, 5, 9, 8, 7, 11, 10, 12]
